identifier1	identifier2	annotator	judgment	comment	lemma
nf_1852_771217.txt-1871-21	mag_1973_491702.txt-207-2	annotator0	4		multitude_nn
nf_1822_747604.txt-897-51	mag_2003_408680.txt-52-41	annotator0	4		multitude_nn
fic_1835_7063.txt-2869-57	mag_1845_565440.txt-510-2	annotator0	4		multitude_nn
nf_1835_748008.txt-2719-5	fic_1856_2655.txt-5527-10	annotator0	4		multitude_nn
nf_1973_774239.txt-1623-8	mag_1974_479587.txt-193-6	annotator0	4		multitude_nn
mag_1852_566234.txt-54-15	nf_1960_774194.txt-1531-1	annotator0	4		multitude_nn
mag_1854_505186.txt-37-42	fic_1860_9817.txt-5081-68	annotator0	4		multitude_nn
news_1972_730290.txt-15-8	fic_1856_2880.txt-2356-20	annotator0	4		multitude_nn
mag_1832_564297.txt-67-38	news_1993_613422.txt-1-27	annotator0	4		multitude_nn
mag_1854_505186.txt-37-42	nf_1836_747959.txt-2285-4	annotator0	2		multitude_nn
fic_1823_7242.txt-2159-25	fic_1995_53086.txt-1410-18	annotator0	0		multitude_nn
nf_1973_774239.txt-1623-8	nf_1970_774162.txt-2420-18	annotator0	3		multitude_nn
mag_1832_564297.txt-67-38	mag_1975_479699.txt-335-49	annotator0	4		multitude_nn
mag_1844_587118.txt-259-6	news_1993_613422.txt-1-27	annotator0	4		multitude_nn
mag_1981_480306.txt-66-11	mag_1963_441289.txt-309-15	annotator0	2		multitude_nn
fic_1964_10443.txt-3152-5	fic_1856_2880.txt-2356-20	annotator0	4		multitude_nn
mag_1845_565440.txt-510-2	fic_1856_2655.txt-5527-10	annotator0	4		multitude_nn
nf_1970_774162.txt-2420-18	mag_1963_441289.txt-309-15	annotator0	4		multitude_nn
nf_1850_747863.txt-97-7	news_1993_613422.txt-1-27	annotator0	2		multitude_nn
nf_1852_771217.txt-1871-21	mag_1979_289255.txt-0-10	annotator0	4		multitude_nn
fic_2007_52030.txt-124-173	fic_1835_7063.txt-2869-57	annotator0	4		multitude_nn
fic_1860_9817.txt-5081-68	mag_1845_565440.txt-510-2	annotator0	3		multitude_nn
nf_1848_754767.txt-1170-3	fic_1983_10707.txt-2550-28	annotator0	2		multitude_nn
fic_1848_1279.txt-1956-22	mag_1850_525436.txt-319-21	annotator0	2		multitude_nn
mag_2003_408680.txt-52-41	mag_1850_525436.txt-319-21	annotator0	4		multitude_nn
mag_1963_441289.txt-309-15	nf_1999_773781.txt-301-70	annotator0	2		multitude_nn
mag_1974_479587.txt-193-6	nf_1972_774123.txt-818-0	annotator0	4		multitude_nn
fic_1976_782016.txt-2066-10	nf_1852_771217.txt-1871-21	annotator0	3		multitude_nn
fic_1976_782016.txt-2066-10	fic_1856_2655.txt-5527-10	annotator0	2		multitude_nn
fic_1851_2538.txt-509-17	mag_1845_565440.txt-510-2	annotator0	4		multitude_nn
fic_1844_3928.txt-822-4	fic_1989_782038.txt-3687-20	annotator0	4		multitude_nn
fic_1964_10443.txt-3152-5	mag_1981_480306.txt-66-11	annotator0	4		multitude_nn
mag_1845_565440.txt-510-2	fic_1977_782019.txt-3249-6	annotator0	4		multitude_nn
fic_1964_10443.txt-3152-5	nf_1960_774194.txt-1531-1	annotator0	2		multitude_nn
fic_1823_7242.txt-2159-25	nf_1960_774194.txt-1531-1	annotator0	2		multitude_nn
mag_1845_565440.txt-510-2	fic_1856_2880.txt-2356-20	annotator0	4		multitude_nn
nf_1999_773781.txt-301-70	fic_1977_782019.txt-3249-6	annotator0	4		multitude_nn
mag_1979_289255.txt-0-10	fic_1960_10401.txt-2459-33	annotator0	4		multitude_nn
mag_1845_565440.txt-510-2	mag_1854_505186.txt-37-42	annotator0	4		multitude_nn
fic_1860_9817.txt-5081-68	fic_1989_782038.txt-3687-20	annotator0	4		multitude_nn
nf_1850_747863.txt-97-7	fic_1989_782038.txt-3687-20	annotator0	2		multitude_nn
nf_1960_774194.txt-1531-1	fic_1856_2880.txt-2356-20	annotator0	2		multitude_nn
mag_1844_587118.txt-259-6	nf_1848_754767.txt-1170-3	annotator0	4		multitude_nn
fic_1995_53086.txt-1410-18	mag_1844_587118.txt-259-6	annotator0	2		multitude_nn
nf_1852_771217.txt-1871-21	mag_1850_525436.txt-319-21	annotator0	2		multitude_nn
fic_2007_52030.txt-124-173	nf_1835_748008.txt-2719-5	annotator0	3		multitude_nn
fic_1976_782016.txt-2066-10	fic_1851_2538.txt-509-17	annotator0	2		multitude_nn
nf_1980_773926.txt-341-17	fic_1989_782038.txt-3687-20	annotator0	4		multitude_nn
nf_1854_750818.txt-1581-83	fic_1828_7245.txt-1587-26	annotator0	4		multitude_nn
mag_1850_525436.txt-319-21	mag_1844_587118.txt-259-6	annotator0	2		multitude_nn
nf_1972_774123.txt-818-0	fic_1989_782038.txt-3687-20	annotator0	2		multitude_nn
fic_1960_10401.txt-2459-33	nf_1850_747863.txt-97-7	annotator0	3		multitude_nn
fic_1841_799.txt-131-20	fic_2007_52030.txt-124-173	annotator0	3		multitude_nn
nf_1836_747959.txt-2285-4	mag_2003_408680.txt-52-41	annotator0	4		multitude_nn
nf_1822_747604.txt-897-51	fic_1851_2538.txt-509-17	annotator0	4		multitude_nn
fic_1844_3928.txt-822-4	fic_1823_7242.txt-2159-25	annotator0	4		multitude_nn
mag_1974_479587.txt-193-6	fic_1851_2538.txt-509-17	annotator0	2		multitude_nn
nf_1836_747959.txt-2285-4	nf_1970_774162.txt-2420-18	annotator0	3		multitude_nn
mag_1975_479699.txt-335-49	fic_1856_2880.txt-2356-20	annotator0	4		multitude_nn
nf_1836_747959.txt-2285-4	fic_1960_10401.txt-2459-33	annotator2	1		multitude_nn
mag_1850_525436.txt-319-21	fic_1856_2880.txt-2356-20	annotator2	1		multitude_nn
mag_1981_480306.txt-66-11	mag_1854_505186.txt-37-42	annotator2	4		multitude_nn
mag_1981_321005.txt-1-21	nf_1960_774194.txt-1531-1	annotator2	1		multitude_nn
nf_1970_774162.txt-2420-18	mag_1973_491702.txt-207-2	annotator2	3		multitude_nn
nf_1980_773926.txt-341-17	fic_2007_52030.txt-124-173	annotator2	4		multitude_nn
fic_1989_782038.txt-3687-20	nf_1822_747604.txt-897-51	annotator2	3		multitude_nn
nf_1850_747863.txt-97-7	fic_1848_1279.txt-1956-22	annotator2	1		multitude_nn
nf_1852_771217.txt-1871-21	news_1972_730290.txt-15-8	annotator2	3		multitude_nn
fic_1995_53086.txt-1410-18	nf_1999_773781.txt-301-70	annotator2	1		multitude_nn
fic_1977_782019.txt-3249-6	fic_1976_782016.txt-2066-10	annotator2	1		multitude_nn
mag_1974_479587.txt-193-6	fic_1989_782038.txt-3687-20	annotator2	1		multitude_nn
mag_1981_480306.txt-66-11	nf_1835_748008.txt-2719-5	annotator2	3		multitude_nn
mag_1975_479699.txt-335-49	mag_2003_408680.txt-52-41	annotator2	1		multitude_nn
fic_1841_799.txt-131-20	fic_1851_2538.txt-509-17	annotator2	1		multitude_nn
nf_1848_754767.txt-1170-3	nf_1836_747959.txt-2285-4	annotator2	3		multitude_nn
nf_1970_774162.txt-2420-18	news_1972_730290.txt-15-8	annotator2	4		multitude_nn
mag_1854_505186.txt-37-42	mag_1850_525436.txt-319-21	annotator2	1		multitude_nn
nf_1970_774162.txt-2420-18	fic_1835_7063.txt-2869-57	annotator2	1		multitude_nn
nf_1850_747863.txt-97-7	mag_1852_566234.txt-54-15	annotator2	4		multitude_nn
nf_1972_774123.txt-818-0	mag_1974_479587.txt-193-6	annotator2	4		multitude_nn
fic_1995_53086.txt-1410-18	fic_1848_1279.txt-1956-22	annotator2	1		multitude_nn
news_1993_613422.txt-1-27	nf_1999_773781.txt-301-70	annotator2	4		multitude_nn
nf_1972_774123.txt-818-0	fic_1856_2655.txt-5527-10	annotator2	1		multitude_nn
fic_1851_2538.txt-509-17	fic_1964_10443.txt-3152-5	annotator2	4		multitude_nn
fic_1856_2655.txt-5527-10	nf_1850_747863.txt-97-7	annotator2	1		multitude_nn
nf_1970_774162.txt-2420-18	fic_1851_2538.txt-509-17	annotator2	4		multitude_nn
mag_1974_479587.txt-193-6	mag_1832_564297.txt-67-38	annotator2	1		multitude_nn
fic_1977_782019.txt-3249-6	nf_1848_754767.txt-1170-3	annotator2	1		multitude_nn
fic_1823_7242.txt-2159-25	mag_1963_441289.txt-309-15	annotator2	1		multitude_nn
news_1993_613422.txt-1-27	fic_1977_782019.txt-3249-6	annotator2	4		multitude_nn
nf_1836_747959.txt-2285-4	nf_1822_747604.txt-897-51	annotator2	4		multitude_nn
nf_1852_771217.txt-1871-21	mag_1832_564297.txt-67-38	annotator2	3		multitude_nn
fic_2007_52030.txt-124-173	mag_1973_491702.txt-207-2	annotator2	1		multitude_nn
mag_1832_564297.txt-67-38	fic_1977_782019.txt-3249-6	annotator2	4		multitude_nn
mag_1973_491702.txt-207-2	nf_1973_774239.txt-1623-8	annotator2	1		multitude_nn
mag_1979_289255.txt-0-10	nf_1836_747959.txt-2285-4	annotator2	4		multitude_nn
fic_1860_9817.txt-5081-68	nf_1980_773926.txt-341-17	annotator2	1		multitude_nn
mag_1973_491702.txt-207-2	nf_1852_771217.txt-1871-21	annotator2	4		multitude_nn
nf_1973_774239.txt-1623-8	fic_1823_7242.txt-2159-25	annotator2	1		multitude_nn
mag_1974_479587.txt-193-6	fic_1841_799.txt-131-20	annotator2	4		multitude_nn
fic_1856_2880.txt-2356-20	mag_1854_505186.txt-37-42	annotator2	4		multitude_nn
nf_1970_774162.txt-2420-18	mag_1975_479699.txt-335-49	annotator2	1		multitude_nn
nf_1854_750818.txt-1581-83	news_1993_613422.txt-1-27	annotator2	1		multitude_nn
mag_1981_321005.txt-1-21	mag_1973_491702.txt-207-2	annotator2	4		multitude_nn
mag_1852_566234.txt-54-15	fic_1856_2880.txt-2356-20	annotator2	1		multitude_nn
fic_1977_16253.txt-2505-23	fic_1856_2880.txt-2356-20	annotator2	1		multitude_nn
fic_1842_9749.txt-4262-9	fic_1823_7242.txt-2159-25	annotator2	1		multitude_nn
nf_1980_773926.txt-341-17	fic_1977_782019.txt-3249-6	annotator2	1		multitude_nn
nf_1852_771217.txt-1871-21	nf_1822_747604.txt-897-51	annotator2	4		multitude_nn
mag_1832_564297.txt-67-38	fic_1835_7063.txt-2869-57	annotator2	3		multitude_nn
nf_1854_750818.txt-1581-83	fic_1977_16253.txt-2505-23	annotator2	4		multitude_nn
mag_1850_525436.txt-319-21	mag_1979_289255.txt-0-10	annotator2	4		multitude_nn
mag_1832_564297.txt-67-38	nf_1972_774123.txt-818-0	annotator2	3		multitude_nn
fic_1995_53086.txt-1410-18	nf_1848_754767.txt-1170-3	annotator2	2		multitude_nn
mag_1981_321005.txt-1-21	mag_2003_408680.txt-52-41	annotator2	1		multitude_nn
news_1972_730290.txt-15-8	fic_1851_2538.txt-509-17	annotator2	4		multitude_nn
fic_1860_9817.txt-5081-68	mag_1963_441289.txt-309-15	annotator2	1		multitude_nn
mag_1845_565440.txt-510-2	nf_1972_774123.txt-818-0	annotator2	4		multitude_nn
nf_1960_774194.txt-1531-1	nf_1970_774162.txt-2420-18	annotator2	4		multitude_nn
fic_1848_1279.txt-1956-22	mag_1854_505186.txt-37-42	annotator2	4		multitude_nn
mag_1973_491702.txt-207-2	fic_1960_10401.txt-2459-33	annotator2	3		multitude_nn
nf_1972_774123.txt-818-0	nf_1850_747863.txt-97-7	annotator2	4		multitude_nn
fic_1823_7242.txt-2159-25	fic_1841_799.txt-131-20	annotator2	1		multitude_nn
fic_2007_52030.txt-124-173	fic_1844_3928.txt-822-4	annotator2	1		multitude_nn
nf_1852_771217.txt-1871-21	nf_1980_773926.txt-341-17	annotator2	2		multitude_nn
fic_1977_16253.txt-2505-23	nf_1822_747604.txt-897-51	annotator2	4		multitude_nn
mag_1963_441289.txt-309-15	fic_1835_7063.txt-2869-57	annotator2	1		multitude_nn
fic_1976_782016.txt-2066-10	fic_1848_1279.txt-1956-22	annotator2	1		multitude_nn
fic_1977_782019.txt-3249-6	fic_1828_7245.txt-1587-26	annotator2	4		multitude_nn
fic_1995_53086.txt-1410-18	nf_1970_774162.txt-2420-18	annotator2	4		multitude_nn
fic_1977_16253.txt-2505-23	nf_1970_774162.txt-2420-18	annotator2	4		multitude_nn
mag_1979_289255.txt-0-10	fic_1976_782016.txt-2066-10	annotator2	4		multitude_nn
mag_1850_525436.txt-319-21	nf_1970_774162.txt-2420-18	annotator2	4		multitude_nn
fic_1964_10443.txt-3152-5	fic_1853_2486.txt-2440-28	annotator2	4		multitude_nn
fic_1983_10707.txt-2550-28	mag_1850_525436.txt-319-21	annotator2	4		multitude_nn
mag_1974_479587.txt-193-6	nf_1970_774162.txt-2420-18	annotator2	4		multitude_nn
mag_1850_525436.txt-319-21	fic_1844_3928.txt-822-4	annotator2	1		multitude_nn
fic_1977_16253.txt-2505-23	fic_1844_3928.txt-822-4	annotator2	1		multitude_nn
fic_1856_2655.txt-5527-10	fic_1964_10443.txt-3152-5	annotator1	4		multitude_nn
mag_1845_565440.txt-510-2	mag_1981_480306.txt-66-11	annotator1	3		multitude_nn
nf_1854_750818.txt-1581-83	mag_1844_587118.txt-259-6	annotator1	3		multitude_nn
fic_1823_7242.txt-2159-25	nf_1970_774162.txt-2420-18	annotator1	3		multitude_nn
fic_1989_782038.txt-3687-20	nf_1848_754767.txt-1170-3	annotator1	3		multitude_nn
fic_1853_2486.txt-2440-28	nf_1980_773926.txt-341-17	annotator1	3		multitude_nn
fic_1976_782016.txt-2066-10	news_1993_613422.txt-1-27	annotator1	3		multitude_nn
nf_1852_771217.txt-1871-21	nf_1980_773926.txt-341-17	annotator1	3		multitude_nn
fic_1841_799.txt-131-20	mag_1963_441289.txt-309-15	annotator1	4		multitude_nn
nf_1822_747604.txt-897-51	nf_1854_750818.txt-1581-83	annotator1	4		multitude_nn
fic_1853_2486.txt-2440-28	nf_1822_747604.txt-897-51	annotator1	3		multitude_nn
mag_1832_564297.txt-67-38	mag_1981_480306.txt-66-11	annotator1	4		multitude_nn
mag_1973_491702.txt-207-2	fic_1853_2486.txt-2440-28	annotator1	4		multitude_nn
nf_1999_773781.txt-301-70	mag_1854_505186.txt-37-42	annotator1	4		multitude_nn
news_1993_613422.txt-1-27	mag_1852_566234.txt-54-15	annotator1	3		multitude_nn
fic_1823_7242.txt-2159-25	fic_1977_782019.txt-3249-6	annotator1	3		multitude_nn
fic_1983_10707.txt-2550-28	nf_1980_773926.txt-341-17	annotator1	4		multitude_nn
nf_1852_771217.txt-1871-21	mag_1850_525436.txt-319-21	annotator1	3		multitude_nn
mag_1979_289255.txt-0-10	nf_1848_754767.txt-1170-3	annotator1	4		multitude_nn
mag_1832_564297.txt-67-38	nf_1850_747863.txt-97-7	annotator1	3		multitude_nn
fic_1983_10707.txt-2550-28	nf_1822_747604.txt-897-51	annotator1	4		multitude_nn
nf_1972_774123.txt-818-0	nf_1999_773781.txt-301-70	annotator1	2		multitude_nn
news_1993_613422.txt-1-27	nf_1835_748008.txt-2719-5	annotator1	3		multitude_nn
nf_1850_747863.txt-97-7	fic_1841_799.txt-131-20	annotator1	4		multitude_nn
fic_1848_1279.txt-1956-22	nf_1980_773926.txt-341-17	annotator1	3		multitude_nn
news_1972_730290.txt-15-8	nf_1835_748008.txt-2719-5	annotator1	3		multitude_nn
nf_1850_747863.txt-97-7	nf_1836_747959.txt-2285-4	annotator1	4		multitude_nn
mag_1963_441289.txt-309-15	fic_1995_53086.txt-1410-18	annotator1	4		multitude_nn
mag_2003_408680.txt-52-41	nf_1848_754767.txt-1170-3	annotator1	4		multitude_nn
fic_1977_16253.txt-2505-23	nf_1999_773781.txt-301-70	annotator1	2		multitude_nn
mag_1974_479587.txt-193-6	nf_1973_774239.txt-1623-8	annotator1	4		multitude_nn
mag_2003_408680.txt-52-41	mag_1845_565440.txt-510-2	annotator1	3		multitude_nn
mag_1832_564297.txt-67-38	mag_2003_408680.txt-52-41	annotator1	3		multitude_nn
nf_1848_754767.txt-1170-3	nf_1852_771217.txt-1871-21	annotator1	3		multitude_nn
mag_1854_505186.txt-37-42	nf_1835_748008.txt-2719-5	annotator1	4		multitude_nn
nf_1848_754767.txt-1170-3	news_1972_730290.txt-15-8	annotator1	4		multitude_nn
mag_1854_505186.txt-37-42	nf_1850_747863.txt-97-7	annotator1	3		multitude_nn
nf_1822_747604.txt-897-51	fic_1989_782038.txt-3687-20	annotator1	4		multitude_nn
mag_1844_587118.txt-259-6	nf_1835_748008.txt-2719-5	annotator1	4		multitude_nn
fic_2007_52030.txt-124-173	nf_1822_747604.txt-897-51	annotator1	4		multitude_nn
fic_1828_7245.txt-1587-26	news_1972_730290.txt-15-8	annotator1	2		multitude_nn
mag_2003_408680.txt-52-41	mag_1981_480306.txt-66-11	annotator1	2		multitude_nn
fic_1995_53086.txt-1410-18	fic_1851_2538.txt-509-17	annotator1	4		multitude_nn
fic_1856_2880.txt-2356-20	fic_1823_7242.txt-2159-25	annotator1	4		multitude_nn
fic_1977_16253.txt-2505-23	mag_1963_441289.txt-309-15	annotator1	4		multitude_nn
nf_1972_774123.txt-818-0	fic_1977_16253.txt-2505-23	annotator1	4		multitude_nn
fic_1983_10707.txt-2550-28	fic_1848_1279.txt-1956-22	annotator1	3		multitude_nn
nf_1999_773781.txt-301-70	fic_1842_9749.txt-4262-9	annotator1	2		multitude_nn
nf_1980_773926.txt-341-17	mag_1844_587118.txt-259-6	annotator1	3		multitude_nn
mag_1852_566234.txt-54-15	fic_1964_10443.txt-3152-5	annotator1	3		multitude_nn
mag_1981_480306.txt-66-11	mag_1981_321005.txt-1-21	annotator1	3		multitude_nn
fic_1977_16253.txt-2505-23	fic_1842_9749.txt-4262-9	annotator1	4		multitude_nn
nf_1852_771217.txt-1871-21	mag_1963_441289.txt-309-15	annotator1	2		multitude_nn
nf_1822_747604.txt-897-51	mag_1979_289255.txt-0-10	annotator1	4		multitude_nn
nf_1999_773781.txt-301-70	fic_1835_7063.txt-2869-57	annotator1	3		multitude_nn
nf_1970_774162.txt-2420-18	mag_1981_480306.txt-66-11	annotator1	2		multitude_nn
mag_1832_564297.txt-67-38	mag_1974_479587.txt-193-6	annotator1	3		multitude_nn
nf_1822_747604.txt-897-51	mag_1981_321005.txt-1-21	annotator1	3		multitude_nn
fic_1995_53086.txt-1410-18	fic_1989_782038.txt-3687-20	annotator1	2		multitude_nn
nf_1836_747959.txt-2285-4	mag_1981_321005.txt-1-21	annotator1	3		multitude_nn
nf_1854_750818.txt-1581-83	fic_1856_2880.txt-2356-20	annotator1	3		multitude_nn
nf_1973_774239.txt-1623-8	fic_1844_3928.txt-822-4	annotator1	2		multitude_nn
fic_1853_2486.txt-2440-28	nf_1972_774123.txt-818-0	annotator1	3		multitude_nn
fic_1983_10707.txt-2550-28	fic_1977_782019.txt-3249-6	annotator1	2		multitude_nn
fic_1989_782038.txt-3687-20	nf_1970_774162.txt-2420-18	annotator1	2		multitude_nn
fic_1823_7242.txt-2159-25	fic_1853_2486.txt-2440-28	annotator1	4		multitude_nn
mag_1973_491702.txt-207-2	fic_1860_9817.txt-5081-68	annotator1	4		multitude_nn
nf_1836_747959.txt-2285-4	nf_1970_774162.txt-2420-18	annotator1	4		multitude_nn
nf_1835_748008.txt-2719-5	nf_1822_747604.txt-897-51	annotator1	3		multitude_nn
fic_1976_782016.txt-2066-10	news_1972_730290.txt-15-8	annotator1	4		multitude_nn
fic_1989_782038.txt-3687-20	fic_1851_2538.txt-509-17	annotator1	2		multitude_nn
mag_1974_479587.txt-193-6	mag_1852_566234.txt-54-15	annotator1	4		multitude_nn
mag_1854_505186.txt-37-42	fic_1856_2655.txt-5527-10	annotator1	4		multitude_nn
fic_1995_53086.txt-1410-18	nf_1854_750818.txt-1581-83	annotator1	4		multitude_nn
nf_1854_750818.txt-1581-83	nf_1850_747863.txt-97-7	annotator1	4		multitude_nn
fic_1851_2538.txt-509-17	nf_1980_773926.txt-341-17	annotator1	4		multitude_nn
fic_1851_2538.txt-509-17	mag_1979_289255.txt-0-10	annotator1	4		multitude_nn
mag_2003_408680.txt-52-41	news_1993_613422.txt-1-27	annotator1	2		multitude_nn
nf_1848_754767.txt-1170-3	fic_1995_53086.txt-1410-18	annotator1	3		multitude_nn
fic_1844_3928.txt-822-4	fic_1976_782016.txt-2066-10	annotator1	2		multitude_nn
fic_2007_52030.txt-124-173	fic_1848_1279.txt-1956-22	annotator1	3		multitude_nn
nf_1836_747959.txt-2285-4	mag_1852_566234.txt-54-15	annotator1	4		multitude_nn
fic_1860_9817.txt-5081-68	fic_1977_782019.txt-3249-6	annotator1	2		multitude_nn
fic_1856_2655.txt-5527-10	nf_1999_773781.txt-301-70	annotator1	3		multitude_nn
mag_1845_565440.txt-510-2	mag_1854_505186.txt-37-42	annotator1	4		multitude_nn
nf_1972_774123.txt-818-0	fic_1842_9749.txt-4262-9	annotator1	4		multitude_nn
fic_1983_10707.txt-2550-28	fic_1989_782038.txt-3687-20	annotator1	2		multitude_nn
fic_1835_7063.txt-2869-57	fic_1844_3928.txt-822-4	annotator1	4		multitude_nn
mag_1974_479587.txt-193-6	fic_2007_52030.txt-124-173	annotator1	4		multitude_nn
nf_1980_773926.txt-341-17	fic_1828_7245.txt-1587-26	annotator1	2		multitude_nn
fic_1856_2655.txt-5527-10	fic_1842_9749.txt-4262-9	annotator1	3		multitude_nn
mag_1975_479699.txt-335-49	fic_1842_9749.txt-4262-9	annotator1	2		multitude_nn
fic_1989_782038.txt-3687-20	nf_1852_771217.txt-1871-21	annotator1	3		multitude_nn
mag_1845_565440.txt-510-2	mag_1979_289255.txt-0-10	annotator1	3		multitude_nn
fic_1960_10401.txt-2459-33	fic_2007_52030.txt-124-173	annotator0	4		multitude_nn
fic_1828_7245.txt-1587-26	fic_1977_782019.txt-3249-6	annotator0	4		multitude_nn
nf_1852_771217.txt-1871-21	mag_1844_587118.txt-259-6	annotator0	3		multitude_nn
mag_1975_479699.txt-335-49	mag_2003_408680.txt-52-41	annotator0	2		multitude_nn
nf_1980_773926.txt-341-17	fic_1844_3928.txt-822-4	annotator0	4		multitude_nn
nf_1848_754767.txt-1170-3	nf_1999_773781.txt-301-70	annotator0	4		multitude_nn
fic_1842_9749.txt-4262-9	fic_1844_3928.txt-822-4	annotator0	2		multitude_nn
mag_1973_491702.txt-207-2	fic_1853_2486.txt-2440-28	annotator0	2		multitude_nn
fic_1835_7063.txt-2869-57	fic_1856_2880.txt-2356-20	annotator0	3		multitude_nn
nf_1970_774162.txt-2420-18	fic_1835_7063.txt-2869-57	annotator0	3		multitude_nn
fic_1835_7063.txt-2869-57	mag_1852_566234.txt-54-15	annotator0	2		multitude_nn
mag_1975_479699.txt-335-49	news_1993_613422.txt-1-27	annotator0	4		multitude_nn
fic_1848_1279.txt-1956-22	mag_1973_491702.txt-207-2	annotator0	4		multitude_nn
nf_1848_754767.txt-1170-3	nf_1835_748008.txt-2719-5	annotator0	4		multitude_nn
fic_1853_2486.txt-2440-28	nf_1972_774123.txt-818-0	annotator0	2		multitude_nn
nf_1836_747959.txt-2285-4	fic_1977_782019.txt-3249-6	annotator0	4		multitude_nn
nf_1972_774123.txt-818-0	nf_1960_774194.txt-1531-1	annotator0	4		multitude_nn
fic_1844_3928.txt-822-4	fic_1851_2538.txt-509-17	annotator0	4		multitude_nn
fic_1848_1279.txt-1956-22	mag_1832_564297.txt-67-38	annotator0	4		multitude_nn
mag_1981_321005.txt-1-21	fic_1842_9749.txt-4262-9	annotator0	2		multitude_nn
fic_1960_10401.txt-2459-33	fic_1835_7063.txt-2869-57	annotator0	4		multitude_nn
mag_2003_408680.txt-52-41	fic_1989_782038.txt-3687-20	annotator0	2		multitude_nn
mag_1850_525436.txt-319-21	nf_1822_747604.txt-897-51	annotator0	2		multitude_nn
fic_1995_53086.txt-1410-18	fic_1841_799.txt-131-20	annotator0	4		multitude_nn
fic_1828_7245.txt-1587-26	mag_1975_479699.txt-335-49	annotator0	4		multitude_nn
nf_1973_774239.txt-1623-8	fic_1828_7245.txt-1587-26	annotator0	2		multitude_nn
mag_2003_408680.txt-52-41	fic_1851_2538.txt-509-17	annotator0	2		multitude_nn
fic_1835_7063.txt-2869-57	nf_1850_747863.txt-97-7	annotator0	2		multitude_nn
nf_1835_748008.txt-2719-5	mag_1974_479587.txt-193-6	annotator0	2		multitude_nn
mag_1832_564297.txt-67-38	nf_1960_774194.txt-1531-1	annotator0	2		multitude_nn
fic_1960_10401.txt-2459-33	mag_1850_525436.txt-319-21	annotator0	2		multitude_nn
